locationID,arrestBorough,latitude,longitude
POINT (-74.001251 40.716337),Manhattan,40.716337,-74.001251
POINT (-73.985552 40.739848),Manhattan,40.739848,-73.985552
POINT (-73.859154 40.668236),Brooklyn,40.668236,-73.859154
POINT (-73.78184638588503 40.766956664212614),Queens,40.76695666421261,-73.78184638588503
POINT (-73.932097 40.618264),Brooklyn,40.618264,-73.932097
POINT (-73.927991 40.68507),Brooklyn,40.68507,-73.927991
POINT (-73.915395 40.817703),Bronx,40.817703,-73.915395
POINT (-73.879964 40.825842),Bronx,40.825842,-73.879964
POINT (-73.938991079402 40.8166619917875),Manhattan,40.8166619917875,-73.938991079402
POINT (-73.987839 40.770103),Manhattan,40.770103,-73.987839
POINT (-73.99563157321111 40.71546572952549),Manhattan,40.71546572952549,-73.99563157321111
POINT (-73.896117 40.678782),Brooklyn,40.678782,-73.896117
POINT (-73.869473 40.752882),Queens,40.752882,-73.869473
POINT (-73.9847920905766 40.74524265779127),Manhattan,40.74524265779127,-73.9847920905766
POINT (-73.89139142095587 40.74664168277901),Queens,40.74664168277901,-73.89139142095587
POINT (-74.03331146905523 40.61794453950164),Brooklyn,40.61794453950164,-74.03331146905523
POINT (-73.85793 40.892399),Bronx,40.892399,-73.85793
POINT (-73.8466779881566 40.83679379387661),Bronx,40.83679379387661,-73.8466779881566
POINT (-73.80792594429812 40.701765633436125),Queens,40.701765633436125,-73.80792594429812
POINT (-73.980931 40.575561),Brooklyn,40.575561,-73.980931
POINT (-73.875603 40.756585),Queens,40.756585,-73.875603
POINT (-74.074001 40.643566),Staten Island,40.643566,-74.074001
POINT (-73.9012653026163 40.634817626169365),Brooklyn,40.634817626169365,-73.9012653026163
POINT (-73.977392 40.752001),Manhattan,40.752001,-73.977392
POINT (-73.86646 40.679683),Brooklyn,40.679683,-73.86646
POINT (-73.884452 40.63481),Brooklyn,40.63481,-73.884452
POINT (-73.92164580117114 40.6788705991623),Brooklyn,40.6788705991623,-73.92164580117114
POINT (-73.94082 40.798285),Manhattan,40.798285,-73.94082
POINT (-73.83141678252332 40.75542957505858),Queens,40.75542957505858,-73.83141678252332
POINT (-74.007146 40.705003),Manhattan,40.705003,-74.007146
POINT (-73.982024 40.687025),Brooklyn,40.687025,-73.982024
POINT (-73.95797447716627 40.67065802222989),Brooklyn,40.67065802222989,-73.95797447716627
POINT (-73.88166084616002 40.84459429096763),Bronx,40.84459429096763,-73.88166084616002
POINT (-73.987779 40.691632),Brooklyn,40.691632,-73.987779
POINT (-73.902735 40.823691),Bronx,40.823691,-73.902735
POINT (-73.983239 40.695404),Brooklyn,40.695404,-73.983239
POINT (-73.88085096687442 40.66717302465606),Brooklyn,40.66717302465606,-73.88085096687442
POINT (-73.919644 40.842694),Bronx,40.842694,-73.919644
POINT (-74.00520932860381 40.72062858780503),Manhattan,40.72062858780503,-74.00520932860381
POINT (-73.926944 40.865029),Manhattan,40.865029,-73.926944
POINT (-73.900499 40.844144),Bronx,40.844144,-73.900499
POINT (-73.81483 40.703348),Queens,40.703348,-73.81483
POINT (-73.849715 40.721971),Queens,40.721971,-73.849715
POINT (-73.92287475562014 40.81331475665255),Bronx,40.81331475665255,-73.92287475562014
POINT (-73.959374 40.668112),Brooklyn,40.668112,-73.959374
POINT (-73.950365 40.72848),Brooklyn,40.72848,-73.950365
POINT (-73.73101180608194 40.72158805712459),Queens,40.72158805712459,-73.73101180608194
POINT (-73.798579 40.693279),Queens,40.693279,-73.798579
POINT (-73.978017 40.609567),Brooklyn,40.609567,-73.978017
POINT (-73.935254 40.851104),Manhattan,40.851104,-73.935254
POINT (-73.99116 40.739381),Manhattan,40.739381,-73.99116
POINT (-73.789208 40.674323),Queens,40.674323,-73.789208
POINT (-74.00682174046591 40.64846571615439),Brooklyn,40.64846571615439,-74.00682174046591
POINT (-73.89685331863805 40.67573572407651),Brooklyn,40.67573572407651,-73.89685331863805
POINT (-73.913372 40.834495),Bronx,40.834495,-73.913372
POINT (-73.90210566698212 40.658777577993426),Brooklyn,40.65877757799343,-73.90210566698212
POINT (-74.155041 40.624996),Staten Island,40.624996,-74.155041
POINT (-73.83013928562261 40.75391534059536),Queens,40.75391534059536,-73.83013928562261
POINT (-73.949746 40.809573),Manhattan,40.809573,-73.949746
POINT (-73.8892022519173 40.85642048561942),Bronx,40.85642048561942,-73.8892022519173
POINT (-73.938898 40.797475),Manhattan,40.797475,-73.938898
POINT (-74.040767 40.623351),Brooklyn,40.623351,-74.040767
POINT (-73.91970421083926 40.611605550635225),Brooklyn,40.611605550635225,-73.91970421083926
POINT (-73.9069079685542 40.75328383847174),Queens,40.75328383847174,-73.9069079685542
POINT (-73.98776859948752 40.74978831616354),Manhattan,40.74978831616354,-73.98776859948752
POINT (-73.912702 40.680828),Brooklyn,40.680828,-73.912702
POINT (-73.93907684328906 40.82163821288814),Manhattan,40.82163821288814,-73.93907684328906
POINT (-73.86726451793145 40.7525121302747),Queens,40.7525121302747,-73.86726451793145
POINT (-73.895638 40.867894),Bronx,40.867894,-73.895638
POINT (-73.937666 40.804037),Manhattan,40.804037,-73.937666
POINT (-73.9567143507268 40.7071108517375),Brooklyn,40.7071108517375,-73.9567143507268
POINT (-73.986605 40.739853),Manhattan,40.739853,-73.986605
POINT (-73.895154 40.847709),Bronx,40.847709,-73.895154
POINT (-74.01843064623098 40.64083668526188),Brooklyn,40.64083668526188,-74.01843064623098
POINT (-74.00793957864515 40.7149275654939),Manhattan,40.7149275654939,-74.00793957864515
POINT (-73.83013930521312 40.759569525960025),Queens,40.759569525960025,-73.83013930521312
POINT (-73.894665 40.85447),Bronx,40.85447,-73.894665
POINT (-73.969434 40.634401),Brooklyn,40.634401,-73.969434
POINT (-73.870751 40.821464),Bronx,40.821464,-73.870751
POINT (-73.99404032468442 40.72032113840748),Manhattan,40.72032113840748,-73.99404032468442
POINT (-73.801326 40.759178),Queens,40.759178,-73.801326
POINT (-73.945123 40.815904),Manhattan,40.815904,-73.945123
POINT (-73.945048 40.826259),Manhattan,40.826259,-73.945048
POINT (-73.763155 40.683314),Queens,40.683314,-73.763155
POINT (-73.938227 40.804715),Manhattan,40.804715,-73.938227
POINT (-73.946354 40.754965),Queens,40.754965,-73.946354
POINT (-73.957925 40.69062),Brooklyn,40.69062,-73.957925
POINT (-73.86788 40.739386),Queens,40.739386,-73.86788
POINT (-73.851532 40.833784),Bronx,40.833784,-73.851532
POINT (-73.912086 40.851132),Bronx,40.851132,-73.912086
POINT (-73.98504284774737 40.7535537874285),Manhattan,40.7535537874285,-73.98504284774737
POINT (-73.86826572522264 40.74631288710981),Queens,40.74631288710981,-73.86826572522264
POINT (-73.938468 40.619213),Brooklyn,40.619213,-73.938468
POINT (-73.90478322721637 40.66156852342157),Brooklyn,40.66156852342157,-73.90478322721637
POINT (-73.987128 40.716074),Manhattan,40.716074,-73.987128
POINT (-73.963023 40.675967),Brooklyn,40.675967,-73.963023
POINT (-73.908788 40.873944),Bronx,40.873944,-73.908788
POINT (-73.8917520418653 40.74681219683057),Queens,40.74681219683057,-73.8917520418653
POINT (-73.97178272840256 40.79465100965659),Manhattan,40.79465100965659,-73.97178272840256
POINT (-74.004174 40.713021),Manhattan,40.713021,-74.004174
POINT (-73.982129 40.770157),Manhattan,40.770157,-73.982129
POINT (-73.91494284127104 40.63700791939589),Brooklyn,40.63700791939589,-73.91494284127104
POINT (-73.785239 40.701218),Queens,40.701218,-73.785239
POINT (-73.803455 40.675048),Queens,40.675048,-73.803455
POINT (-73.938364 40.692119),Brooklyn,40.692119,-73.938364
POINT (-74.090529 40.603703),Staten Island,40.603703,-74.090529
POINT (-73.911463 40.822355),Bronx,40.822355,-73.911463
POINT (-73.976436 40.577258),Brooklyn,40.577258,-73.976436
POINT (-73.987794 40.726278),Manhattan,40.726278,-73.987794
POINT (-73.915863 40.815318),Bronx,40.815318,-73.915863
POINT (-73.828846 40.753873),Queens,40.753873,-73.828846
POINT (-73.94826620022761 40.63860599292217),Brooklyn,40.63860599292217,-73.94826620022761
POINT (-73.86399 40.865498),Bronx,40.865498,-73.86399
POINT (-73.863923 40.887663),Bronx,40.887663,-73.863923
POINT (-73.91347244485456 40.66506674794871),Brooklyn,40.66506674794871,-73.91347244485456
POINT (-73.9804599435854 40.67641159836944),Brooklyn,40.67641159836944,-73.9804599435854
POINT (-73.97623462356884 40.625975424146915),Brooklyn,40.62597542414692,-73.97623462356884
POINT (-73.8438936779283 40.8565767275976),Bronx,40.8565767275976,-73.8438936779283
POINT (-73.861028 40.835997),Bronx,40.835997,-73.861028
POINT (-73.99581673013246 40.75405697108878),Manhattan,40.75405697108878,-73.99581673013246
POINT (-73.928421 40.852794),Manhattan,40.852794,-73.928421
POINT (-73.950913 40.640798),Brooklyn,40.640798,-73.950913
POINT (-73.953301 40.811068),Manhattan,40.811068,-73.953301
POINT (-73.886132 40.754547),Queens,40.754547,-73.886132
POINT (-73.90478656028658 40.87892444816264),Bronx,40.87892444816264,-73.90478656028658
POINT (-73.907293 40.667566),Brooklyn,40.667566,-73.907293
POINT (-73.90119 40.851843),Bronx,40.851843,-73.90119
POINT (-73.8617511818965 40.749966750834645),Queens,40.749966750834645,-73.8617511818965
POINT (-74.08545 40.583176),Staten Island,40.583176,-74.08545
POINT (-73.89651898202584 40.67048191989779),Brooklyn,40.67048191989779,-73.89651898202584
POINT (-73.932373 40.627211),Brooklyn,40.627211,-73.932373
POINT (-73.93612563080264 40.84355040460225),Manhattan,40.84355040460225,-73.93612563080264
POINT (-73.908484 40.816084),Bronx,40.816084,-73.908484
POINT (-73.947642 40.799045),Manhattan,40.799045,-73.947642
POINT (-73.85382841465285 40.86540567333253),Bronx,40.86540567333253,-73.85382841465285
POINT (-74.0012870423498 40.67611955955309),Brooklyn,40.67611955955309,-74.0012870423498
POINT (-73.93782400115914 40.72015079741541),Brooklyn,40.72015079741541,-73.93782400115914
POINT (-73.8759315341335 40.7565675846374),Queens,40.7565675846374,-73.8759315341335
POINT (-74.002897 40.674687),Brooklyn,40.674687,-74.002897
